Номер;Время отк;Время зак.;Бот;Инструмент;Напр.;Состояние;Объём;Текущий;Ожидает;Цена входа;Цена выхода;Прибыль;Стоп Активация;Стоп Цена;Профит Активация;Профит цена;Тип Сигнала на Открытие;Тип Сигнала на Закрытие
1528;08.04.2025 16:20:00;08.04.2025 16:22:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;146388,843979;0,000000;0;6,81623;6,81629;8,783331;0;0;0;0;IndexDeviation;IndexQuality
1524;08.04.2025 16:17:00;08.04.2025 16:21:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91654,915893;0,000000;0;10,8768;10,86106;1442,648376;0;0;0;0;IndexDeviation;IndexQuality
1526;08.04.2025 16:19:00;08.04.2025 16:21:00;7 MyNewBot1tab1;UsdJpy.txt;Sell;Done;6785,902474;0,000000;0;146,905;146,959;-366,4387;0;0;0;0;IndexDeviation;IndexQuality
1523;08.04.2025 16:16:00;08.04.2025 16:18:00;17 MyNewBot1tab1;UsdZar.txt;Sell;Done;51450,760728;0,000000;0;19,38091;19,3627;936,91835;0;0;0;0;IndexDeviation;IndexQuality
1521;08.04.2025 16:14:00;08.04.2025 16:18:00;15 MyNewBot1tab1;UsdSgd.txt;Buy;Done;739513,326387;0,000000;0;1,34812;1,3481;-14,790267;0;0;0;0;IndexDeviation;IndexQuality
1520;08.04.2025 16:14:00;08.04.2025 16:17:00;2 MyNewBot1tab1;UsdCny.txt;Buy;Done;135877,132366;0,000000;0;7,337;7,3369;-13,58771;0;0;0;0;IndexDeviation;IndexDeviationExit
1517;08.04.2025 16:04:00;08.04.2025 16:06:00;17 MyNewBot1tab1;UsdZar.txt;Sell;Done;51408,625971;0,000000;0;19,3821;19,3633;966,48217;0;0;0;0;IndexDeviation;IndexQuality
1518;08.04.2025 16:04:00;08.04.2025 16:06:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;703319,731091;0,000000;0;1,41672;1,41735;-443,091431;0;0;0;0;IndexDeviation;IndexQuality
1516;08.04.2025 15:56:00;08.04.2025 15:58:00;17 MyNewBot1tab1;UsdZar.txt;Buy;Done;51455,738238;0,000000;0;19,3611;19,36914;413,70414;0;0;0;0;IndexDeviation;IndexDeviationExit
1515;08.04.2025 15:55:00;08.04.2025 15:57:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;703623,703865;0,000000;0;1,41587;1,41622;-246,268296;0;0;0;0;IndexDeviation;IndexQuality
1512;07.04.2025 18:01:00;07.04.2025 18:03:00;12 MyNewBot1tab1;UsdPln.txt;Sell;Done;251571,289569;0,000000;0;3,9395;3,933;1635,21338;0;0;0;0;IndexDeviation;TimeFilter
1514;07.04.2025 18:01:00;07.04.2025 18:03:00;10 MyNewBot1tab1;UsdMxn.txt;Buy;Done;48075,258253;0,000000;0;20,624;20,6331;437,48485;0;0;0;0;IndexDeviation;TimeFilter
1511;07.04.2025 18:01:00;07.04.2025 18:03:00;3 MyNewBot1tab1;UsdDkk.txt;Sell;Done;144924,544886;0,000000;0;6,8338;6,83574;-281,153617;0;0;0;0;IndexDeviation;TimeFilter
1513;07.04.2025 18:01:00;07.04.2025 18:03:00;1 MyNewBot1tab1;UsdChf.txt;Sell;Done;1150991,206454;0,000000;0;0,86186;0,86129;656,064988;0;0;0;0;IndexDeviation;TimeFilter
1507;07.04.2025 17:59:00;07.04.2025 18:02:00;17 MyNewBot1tab1;UsdZar.txt;Sell;Done;50673,160665;0,000000;0;19,5704;19,56051;501,15756;0;0;0;0;IndexDeviation;TimeFilter
1508;07.04.2025 17:59:00;07.04.2025 18:02:00;15 MyNewBot1tab1;UsdSgd.txt;Buy;Done;735116,360259;0,000000;0;1,34923;1,34897;-191,130254;0;0;0;0;IndexDeviation;TimeFilter
1509;07.04.2025 17:59:00;07.04.2025 18:02:00;14 MyNewBot1tab1;UsdSek.txt;Buy;Done;98944,402776;0,000000;0;10,02419;10,04076;1639,508754;0;0;0;0;IndexDeviation;TimeFilter
1506;07.04.2025 17:59:00;07.04.2025 18:02:00;5 MyNewBot1tab1;UsdHuf.txt;Sell;Done;2653,574932;0,000000;0;373,7;373,87;-451,108;0;0;0;0;IndexDeviation;TimeFilter
1510;07.04.2025 18:00:00;07.04.2025 18:02:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;697246,729579;0,000000;0;1,42248;1,42162;599,632187;0;0;0;0;IndexDeviation;TimeFilter
1504;07.04.2025 17:53:00;07.04.2025 17:55:00;14 MyNewBot1tab1;UsdSek.txt;Buy;Done;98507,154438;0,000000;0;10,0467;10,0415;-512,237203;0;0;0;0;IndexDeviation;IndexQuality
1505;07.04.2025 17:53:00;07.04.2025 17:55:00;6 MyNewBot1tab1;UsdInr.txt;Buy;Done;11538,668209;0,000000;0;85,792;85,799;80,77068;0;0;0;0;IndexDeviation;IndexQuality
1503;07.04.2025 17:53:00;07.04.2025 17:55:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2657,675588;0,000000;0;372,627;372,96;885,006;0;0;0;0;IndexDeviation;IndexQuality
1501;07.04.2025 17:52:00;07.04.2025 17:54:00;15 MyNewBot1tab1;UsdSgd.txt;Buy;Done;734245,434970;0,000000;0;1,34841;1,3489;359,780263;0;0;0;0;IndexDeviation;IndexQuality
